uid,monolayer1,monolayer2,IE_DFT
Ga2S2_Ga2S2,Ga2S2,Ga2S2,-0.20842105100000002
Ga2Se2_Ga2Se2,Ga2Se2,Ga2Se2,-0.18364372399999998
C2_C2,C2,C2,-0.34105263
Hf1S2_Hf1S2,Hf1S2,Hf1S2,-0.281295545
Hf1Se2_Hf1Se2,Hf1Se2,Hf1Se2,-0.263805666
Hf1Te2_Hf1Te2,Hf1Te2,Hf1Te2,-0.212793521
In2S2_In2S2,In2S2,In2S2,-0.18510121300000001
In2Se2_In2Se2,In2Se2,In2Se2,-0.164696355
Mo1S2_Mo1S2,Mo1S2,Mo1S2,-0.374574897
Mo1Se2_Mo1Se2,Mo1Se2,Mo1Se2,-0.34105263
Mo1Te2_Mo1Te2,Mo1Te2,Mo1Te2,-0.303157893
Nb1S2_Nb1S2,Nb1S2,Nb1S2,-0.3308502
Nb1Se2_Nb1Se2,Nb1Se2,Nb1Se2,-0.304615383
Nb1Te2_Nb1Te2,Nb1Te2,Nb1Te2,-0.20842105100000002
Ni1S2_Ni1S2,Ni1S2,Ni1S2,-0.45910930899999997
Ni1Se2_Ni1Se2,Ni1Se2,Ni1Se2,-0.488259106
Ni1Te2_Ni1Te2,Ni1Te2,Ni1Te2,-0.402267204
Pd2Se4_Pd2Se4,Pd2Se4,Pd2Se4,-0.396437245
Pd1Te2_Pd1Te2,Pd1Te2,Pd1Te2,-0.278380565
Pt1Se2_Pt1Se2,Pt1Se2,Pt1Se2,-0.405182184
Pt1Te2_Pt1Te2,Pt1Te2,Pt1Te2,-0.342510119
Re4S8_Re4S8,Re4S8,Re4S8,-0.21425101100000002
Re4Se8_Re4Se8,Re4Se8,Re4Se8,-0.399352224
Re1Te2_Re1Te2,Re1Te2,Re1Te2,-0.329392711
Si2_Si2,Si2,Si2,-0.252145748
Si1C1_Si1C1,Si1C1,Si1C1,-0.290040484
Hf1S2-T1_Hf1S2-T1,Hf1S2-T1,Hf1S2-T1,-0.397894735
Hf1Se2-T1_Hf1Se2-T1,Hf1Se2-T1,Hf1Se2-T1,-0.381862346
Hf1Te2-T1_Hf1Te2-T1,Hf1Te2-T1,Hf1Te2-T1,-0.374574897
Mo1S2-T1_Mo1S2-T1,Mo1S2-T1,Mo1S2-T1,-0.464939269
Mo1Se2-T1_Mo1Se2-T1,Mo1Se2-T1,Mo1Se2-T1,-0.43141700200000005
Mo1Te2-T1_Mo1Te2-T1,Mo1Te2-T1,Mo1Te2-T1,-0.421214572
Nb1S2-T1_Nb1S2-T1,Nb1S2-T1,Nb1S2-T1,-0.55530364
Nb1Se2-T1_Nb1Se2-T1,Nb1Se2-T1,Nb1Se2-T1,-0.56550607
